Names,Representative Number,newnameIdx,itemcategorycode,itemcategoryname,itemcode,itemname,kindcode,kindname,retail_unit,retail_unitsize,productrankcode
통조림콩,1367,,,,,,,,,,
통현미,1996,,,,,,,,,,
통후추,866,,,,,,,,,,
튀김가루,742,,,,,,,,,,
튀밥,3624,,,,,,,,,,
트러플소금,1749,,,,,,,,,,
트러플소스,1745,,,,,,,,,,
트러플오일,1092,,,,,,,,,,
파,1490,74,200,채소류,246,파,00,대파,kg,1,04
파기름,1197,,,,,,,,,,
파김치,1145,,,,,,,,,,
파래,91,,,,,,,,,,
파래가루,1644,,,,,,,,,,
파르미지아노레지아노치즈,919,,,,,,,,,,
파마산치즈,204,,,,,,,,,,
파마산치즈가루,877,,,,,,,,,,
파바빈,3200,,,,,,,,,,
파뿌리,2779,74,200,채소류,246,파,00,대파,kg,1,04
파스타면,715,,,,,,,,,,
파스타생면,1119,,,,,,,,,,
파스타소스,1968,,,,,,,,,,
파슬리,710,,,,,,,,,,
파슬리가루,2561,,,,,,,,,,
파워에이드,3642,,,,,,,,,,
파이시트,2824,,,,,,,,,,
파이지,3297,,,,,,,,,,
파인애플,171,141,400,과일류,420,파인애플,02,수입,개,1,04
파인애플 통조림,2117,,,,,,,,,,
파인애플소스,2554,,,,,,,,,,
파인애플통조림,498,,,,,,,,,,
파채소스,2736,,,,,,,,,,
파파야,172,,,,,,,,,,
파프리카,5,85,200,채소류,256,파프리카,00,파프리카,g,200,04
파프리카가루,717,85,200,채소류,256,파프리카,00,파프리카,g,200,04
판젤라틴,626,,,,,,,,,,
팔각,431,,,,,,,,,,
팝콘,1556,,,,,,,,,,
팟타이,3053,,,,,,,,,,
팟타이소스,1586,,,,,,,,,,
팥,114,9,100,식량작물,142,팥,00,붉은 팥(국산),g,500,04
팥배기,917,,,,,,,,,,
팥앙금,916,,,,,,,,,,
팥죽,2823,,,,,,,,,,
패션후르츠,1887,,,,,,,,,,
팬케이크가루,1477,,,,,,,,,,
팽이버섯,54,109,300,특용작물,316,팽이버섯,00,팽이버섯,g,150,04
페스츄리,2453,,,,,,,,,,
페스토,2509,,,,,,,,,,
페이스트,1270,,,,,,,,,,
페코리노치즈,1981,,,,,,,,,,
페페로니,3536,,,,,,,,,,
페페론치노,451,,,,,,,,,,
펜네,1310,,,,,,,,,,
펜넬 ,2918,,,,,,,,,,
펜넬시드,3242,,,,,,,,,,
편육,1757,,,,,,,,,,
포도,136,124,400,과일류,414,포도,01,캠벨얼리,kg,1,24
포도당가루,2732,,,,,,,,,,
포도씨유,436,,,,,,,,,,
포도주스,1245,,,,,,,,,,
폰즈소스,651,,,,,,,,,,
표고버섯,52,222,300,특용작물,322,표고버섯,01,표고버섯,g,100,07
표고버섯분말,3249,222,300,특용작물,322,표고버섯,01,표고버섯,g,100,07
표고버섯육수,2804,222,300,특용작물,322,표고버섯,01,표고버섯,g,100,07
푸실리,1011,,,,,,,,,,
푸주,1386,,,,,,,,,,
푸팟퐁커리,3098,,,,,,,,,,
풀치,1504,,,,,,,,,,
풋고추,649,55,200,채소류,242,풋고추,00,풋고추(녹광 등),g,100,04
퓨레,3133,,,,,,,,,,
프로틴,3283,,,,,,,,,,
플라워라이스,3097,,,,,,,,,,
플레인요거트,208,,,,,,,,,,
플레인요구르트,841,,,,,,,,,,
피마자나물,2828,,,,,,,,,,
피망,21,84,200,채소류,255,피망,00,청,g,100,04
피쉬볼,3504,,,,,,,,,,
피스타치오,194,,,,,,,,,,
피시소스,636,,,,,,,,,,
피자,2111,,,,,,,,,,
피자도우,1149,,,,,,,,,,
피자믹스,3126,,,,,,,,,,
피조개,966,,,,,,,,,,
피칸,195,,,,,,,,,,
피클,638,,,,,,,,,,
피클링스파이스,512,,,,,,,,,,
핑크페퍼,1351,,,,,,,,,,
하몽,513,,,,,,,,,,
하이라이스,1365,,,,,,,,,,
한라봉,152,,,,,,,,,,
한방재료,1430,,,,,,,,,,
한우곰탕,3650,,,,,,,,,,
한천,964,,,,,,,,,,
한치,77,,,,,,,,,,
할라피뇨,494,,,,,,,,,,
할라피뇨소스,2690,,,,,,,,,,
함박스테이크,1543,,,,,,,,,,
함초,517,,,,,,,,,,
함초가루,2216,,,,,,,,,,
핫도그,1050,,,,,,,,,,
핫바,1571,,,,,,,,,,
핫소스,518,,,,,,,,,,
핫초코,1779,,,,,,,,,,
핫케이크가루,644,,,,,,,,,,
해물,1038,,,,,,,,,,
해물가루,2835,,,,,,,,,,
해물소스,2834,,,,,,,,,,
해물육수,1759,,,,,,,,,,
해바라기씨,196,,,,,,,,,,
해바라기씨유,520,,,,,,,,,,
해산물,3227,,,,,,,,,,
해삼,635,,,,,,,,,,
해선장,521,,,,,,,,,,
해쉬브라운,2249,,,,,,,,,,
해시브라운,1128,,,,,,,,,,
해초,1680,,,,,,,,,,
해파리,522,,,,,,,,,,
햄,634,,,,,,,,,,
햄버거빵,1086,,,,,,,,,,
햄버거패티,2981,,,,,,,,,,
햄프씨드,1094,,,,,,,,,,
햄프오일,3305,,,,,,,,,,
향신료,1838,,,,,,,,,,
향신즙,2134,,,,,,,,,,
허니머스타드,469,,,,,,,,,,
허니파우더,1778,,,,,,,,,,
허브,2859,,,,,,,,,,
허브가루,2005,,,,,,,,,,
허브믹스,2530,,,,,,,,,,
허브솔트,539,,,,,,,,,,
허브잎,2055,,,,,,,,,,
헛개,2764,,,,,,,,,,
헛개나무,1600,,,,,,,,,,
헤이즐넛,190,,,,,,,,,,
현미,96,,,,,,,,,,
현미가루,1304,,,,,,,,,,
현미밥,1775,,,,,,,,,,
현미튀밥,2758,,,,,,,,,,
호두,193,111,300,특용작물,318,호두,00,수입,g,100,05
호두마루,2886,,,,,,,,,,
호떡,1184,,,,,,,,,,
호떡믹스,647,,,,,,,,,,
호밀가루,105,,,,,,,,,,
호밀빵,1164,,,,,,,,,,
호박,329,111,300,특용작물,318,호두,00,수입,g,100,05
호박가루,1364,111,300,특용작물,318,호두,00,수입,g,100,05
호박나물,1620,,,,,,,,,,
호박발효액,2829,,,,,,,,,,
호박씨,189,111,300,특용작물,318,호두,00,수입,g,100,05
호박잎,1023,,,,,,,,,,
호박전,2825,,,,,,,,,,
호빵,2035,,,,,,,,,,
혼다시,768,,,,,,,,,,
홀그레인머스타드,786,,,,,,,,,,
홀스래디쉬,767,,,,,,,,,,
홀스레디쉬,2797,,,,,,,,,,
홍고추,247,59,200,채소류,243,붉은고추,00,붉은고추,g,100,04
홍삼,533,,,,,,,,,,
홍삼가루,1853,,,,,,,,,,
홍삼액,2027,,,,,,,,,,
홍삼절편,1529,,,,,,,,,,
홍시,177,,,,,,,,,,
홍어,537,,,,,,,,,,
홍차,2158,,,,,,,,,,
홍초,1226,,,,,,,,,,
홍합,87,201,600,수산물,658,홍합,01,깐홍합(냉장),g,100,04
화유,3574,,,,,,,,,,
화이트와인,406,,,,,,,,,,
화조유,2730,,,,,,,,,,
황금향,1747,,,,,,,,,,
황기,953,,,,,,,,,,
황도,785,,,,,,,,,,
황두장,2031,,,,,,,,,,
황설탕,530,,,,,,,,,,
황칠,1851,,,,,,,,,,
황태,531,175,600,수산물,615,명태,01,생선,마리,1,05
황태가루,2262,175,600,수산물,615,명태,01,생선,마리,1,05
황태육수,2115,175,600,수산물,615,명태,01,생선,마리,1,05
황태채,982,175,600,수산물,615,명태,01,생선,마리,1,05
황태포,784,175,600,수산물,615,명태,01,생선,마리,1,05
회,2731,,,,,,,,,,
회향,3101,,,,,,,,,,
후라이드치킨,1531,,,,,,,,,,
후르츠,2785,,,,,,,,,,
후르츠칵테일,629,,,,,,,,,,
후리카케,532,,,,,,,,,,
후추,225,,,,,,,,,,
훈제 닭가슴살,1583,,,,,,,,,,
훈제연어,630,,,,,,,,,,
훈제오리,126,,,,,,,,,,
훠궈소스,2207,,,,,,,,,,
훠궈육수,1837,,,,,,,,,,
휘핑크림,217,,,,,,,,,,
흑마늘,2923,60,200,채소류,244,피마늘,01,한지1접,[],[],04
흑맥주,2471,,,,,,,,,,
흑미,2213,,,,,,,,,,
흑미누룽지,1798,,,,,,,,,,
흑미밥,557,,,,,,,,,,
흑미쌀가루,3296,,,,,,,,,,
흑설탕,482,,,,,,,,,,
흑임자,1619,,,,,,,,,,
흑임자드레싱,2271,,,,,,,,,,
흑초,485,,,,,,,,,,
흰목이버섯,2003,,,,,,,,,,
