Names,Representative Number,newnameIdx,itemcategorycode,itemcategoryname,itemcode,itemname,kindcode,kindname,retail_unit,retail_unitsize,productrankcode
딸기,154,40,200,채소류,226,딸기,00,딸기,g,100,04
딸기분말,2448,40,200,채소류,226,딸기,00,딸기,g,100,04
딸기시럽,1728,,,,,,,,,,
딸기우유,1618,,,,,,,,,,
딸기주스,2964,,,,,,,,,,
딸기파우더,1099,40,200,채소류,226,딸기,00,딸기,g,100,04
딸기퓨레,1074,,,,,,,,,,
땅콩,183,105,300,특용작물,314,땅콩,01,국산,g,100,04
땅콩기름,1873,,,,,,,,,,
땅콩버터,199,,,,,,,,,,
땅콩소스,1088,,,,,,,,,,
떡,858,,,,,,,,,,
떡갈비,1054,,,,,,,,,,
떡국떡,1944,,,,,,,,,,
떡볶이,1273,,,,,,,,,,
떡볶이소스,2106,,,,,,,,,,
또디아,232,,,,,,,,,,
또띠아,2722,,,,,,,,,,
라구소스,1592,,,,,,,,,,
라디치오,1540,,,,,,,,,,
라면,1284,,,,,,,,,,
라면사리,445,,,,,,,,,,
라면스프,1301,,,,,,,,,,
라비올리,1588,,,,,,,,,,
라이스밸리,2256,,,,,,,,,,
라이스페이퍼,238,,,,,,,,,,
라임,132,,,,,,,,,,
라임즙,239,,,,,,,,,,
라즈베리,180,,,,,,,,,,
락교,1346,,,,,,,,,,
랍스터,243,,,,,,,,,,
랜치소스,3140,,,,,,,,,,
럼주,432,,,,,,,,,,
레드와인,246,,,,,,,,,,
레디쉬,244,,,,,,,,,,
레몬,133,150,400,과일류,424,레몬,00,수입,개,10,04
레몬가루,2019,150,400,과일류,424,레몬,00,수입,개,10,04
레몬그라스,1263,,,,,,,,,,
레몬수,1795,,,,,,,,,,
레몬오일,1943,,,,,,,,,,
레몬제스트,960,150,400,과일류,424,레몬,00,수입,개,10,04
레몬주스,918,,,,,,,,,,
레몬즙,250,150,400,과일류,424,레몬,00,수입,개,10,04
레몬청,251,,,,,,,,,,
레몬필,1168,150,400,과일류,424,레몬,00,수입,개,10,04
렌즈콩,110,6,100,식량작물,141,콩,01,흰 콩(국산),g,500,04
로제소스,1971,,,,,,,,,,
로제파스타소스,1951,,,,,,,,,,
로즈마리,253,,,,,,,,,,
로즈마리가루,2089,,,,,,,,,,
롤케이크,2967,,,,,,,,,,
루꼴라,256,,,,,,,,,,
리코타치즈,257,,,,,,,,,,
마,49,,,,,,,,,,
마늘,28,87,200,채소류,258,깐마늘(국산),01,깐마늘(국산),kg,1,04
마늘가루,999,87,200,채소류,258,깐마늘(국산),01,깐마늘(국산),kg,1,04
마늘기름,2006,,,,,,,,,,
