,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
383,-0.16706996,-1.4157561,0.5967078,0.75742924,0.1412882,-0.97764623,0.87358433,-0.4379381,0.37436035,-0.918554,0.23468345,1.3493663,0.5597474,-1.0439311,-0.18374129,0.36579394,-0.29978868,-0.762054,0.62037325,-0.17785236,0.18310238,-0.18587345,-0.52935976,-0.5292303,0.13666277,1.512799,-1.3559805,0.9755,0.69001216,1.1415812,-1.5892478,0.8771883,0.09132048,1.1221595,1.5277343,0.25152007,-0.119203165,0.43454057,-1.0869901,-0.47972888,0.6012169,-0.6500386,-1.1956801,0.6452117,-0.48228663,-1.6236111,-0.08707558,0.26327747,0.75045514,0.6189036,-0.532409,-0.7301368,-1.7955371,0.7461561,0.45313734,0.91243577,-1.0787433,-0.3154212,0.8332427,0.67735124,-1.2820436,-1.9394109,1.6342294,0.8098061,-1.4928927,1.0343481,-0.40843877,-0.8553165,0.005656563,-0.18399721,1.4239439,1.5531873,0.8749065,0.14984606,0.6272156,-0.051496465,0.438218,-1.0583525,-0.42421737,-0.302625,0.26588947,1.3371521,0.24680881,-0.8570081,-0.054782663,0.26839805,0.025735874,0.55124384,1.2762477,0.15947944,0.8969483,-0.5789103,0.54560506,0.28747174,-0.6273841,-0.59855,-0.82544285,-0.07884386,-0.289655,-0.59905034
28,0.44057494,0.13152108,-0.09422857,0.6197469,-0.5768812,-0.82057095,0.10822848,-0.66629267,-0.65886396,-0.35523948,0.83331424,1.5034373,-1.0902122,-0.18440145,0.3684419,-0.55298984,-0.9873686,-1.2293111,0.31912988,-0.26189187,-0.6373119,-0.08447738,0.5883968,0.7366764,-1.1624566,-0.4824568,-0.07812919,1.8325455,0.8647369,-0.38223788,-0.041970327,0.63417786,-0.85026467,-0.59508455,0.69847006,-0.07772529,1.1019367,1.3376538,-0.95333105,0.3376821,-0.73194116,-0.445033,0.1792447,1.3457196,0.4991685,0.4389244,0.6815671,0.9201376,-0.44358882,1.4539908,-0.75600135,-0.6003262,-0.8280333,-0.07975723,-0.6520671,-0.437866,-0.120141394,0.26647457,0.47599798,0.0586696,0.20084529,-1.0649438,1.1426972,0.025541577,-0.42582458,-1.2054696,1.1296753,1.2901953,-1.2431797,-0.07762087,-0.04252236,0.86532354,0.8141587,0.53501964,-0.047939196,-0.5895301,-1.0224648,1.2128348,-1.2321212,-0.29375067,0.9543811,0.40485352,0.40883312,-1.0421826,1.6600821,0.5465158,-0.83059764,0.32906297,-0.24554893,0.5119802,-0.6801715,-0.07482729,-0.24100198,0.6760596,1.0081633,-0.27772442,-0.13180532,0.17234091,-1.3488569,-0.27108434
508,0.46731767,0.2884089,0.63874507,-1.0013276,0.34211558,0.3723541,1.4510397,1.106307,0.01001306,-0.89603674,-0.93898654,0.033020426,-0.6995697,0.7105359,0.023702864,-0.24126941,-0.5817997,-0.0013889916,-1.0313559,-0.34377718,-0.3924848,0.34024766,0.15363072,-0.21990287,-1.6540703,0.15153699,-1.6183983,-0.3141725,-0.014154689,0.13122395,-0.5394138,0.3223199,-0.69140446,0.31752926,0.87229884,-0.5964469,-0.39722982,0.8445133,1.0326352,-0.45843768,-0.20162748,-0.28646153,-0.37781394,0.27315474,-0.78327394,-0.46694148,0.4145051,0.7880198,-0.49550855,0.5382525,0.00056773925,-1.3050238,-0.16732779,-0.9079908,0.69788814,1.2327701,0.62959474,0.6409259,0.16236693,0.9175187,-0.20004056,-0.82233256,0.69319016,0.8775879,1.3360801,0.2600077,0.21008961,-1.129375,1.0565801,-1.3894165,0.30072042,0.4091467,-0.08972721,-0.29813102,0.34390667,-0.30376747,-0.6281955,-0.71353686,-0.39103973,-1.1693919,0.19065887,0.3502493,0.27734095,1.1607494,-0.80801195,-1.1969101,1.3502014,-0.051070064,0.5297701,0.5739289,1.2936617,-0.3361955,-0.042186208,-0.73740244,-0.3142018,0.12281446,0.24186456,0.8493925,0.96150595,0.18621793
547,-0.11299597,-0.67891544,0.2518714,-0.4048617,0.8180315,-1.6996027,-0.33081847,1.6904154,1.3389332,-1.7564627,1.5820137,0.39146096,-0.15572758,-0.21209423,-0.08549905,0.26789135,0.3416528,-2.6152327,0.7241498,-2.1619349,1.0242796,0.15913795,1.0617617,-0.09946823,0.33459806,1.2541593,-1.8035892,-0.44697747,-0.25837478,1.4271983,0.1332216,1.0228844,1.2070829,-0.24667114,2.0554075,-0.9521454,-0.6157846,0.5416617,-0.19143622,-0.0713435,0.9472434,-0.9099511,0.33437893,1.0027581,0.3304167,-1.1440748,-0.6809503,0.09474154,0.8834862,0.13522737,0.42696527,-0.5531152,0.2012595,1.2406911,0.6852631,-0.14594561,0.57790524,0.81000227,0.24847646,2.1423664,-0.028620629,-0.35169286,0.66396505,-0.07112431,0.82237774,-0.75483334,0.39409488,-0.024451394,0.7123216,-1.0351051,0.89898574,-0.31356925,0.41447026,-0.43012056,0.0793752,-0.1858104,-0.18575412,-0.18935952,1.2925619,0.1831583,1.279079,-0.08952457,1.0168461,-1.6529267,0.65726227,0.88177425,-0.97629964,0.30918983,1.0845342,0.48233885,0.4932541,1.0610187,1.0988356,0.6403621,-1.306337,-0.9868012,-1.4320341,0.20732178,0.061969332,-0.10269051
296,0.26392776,0.9976046,-0.7814346,-0.6134771,-0.5649706,0.32209265,0.50930035,-1.0198203,0.64623016,-0.54708946,1.4644068,0.9653912,-1.4629025,-1.3085642,-0.8561157,0.69988847,1.0106298,-0.9095861,0.6684774,0.80977017,1.1179383,1.2126031,0.74901015,-0.6114341,-1.4865975,0.41852722,-0.3317582,0.5636129,0.92764485,0.31576988,-0.2658834,1.0229669,-0.23878057,-1.5840068,0.59202254,-2.0029633,0.54306966,1.2083293,-0.6123376,-1.46949,0.5641653,0.5361928,0.066034,-0.28459236,0.30799326,-0.19304976,-0.9956313,0.35478625,-0.401598,0.069178455,-1.0217166,0.6170176,-0.041151617,-0.5726002,0.024944583,-1.157587,0.8938092,0.3816194,-0.018668296,0.41131896,-0.7973944,-0.26478502,1.2334383,1.3398358,-0.16912621,0.46996284,0.55494773,0.10513926,-1.1594865,0.8493024,-0.9796953,-0.17917345,1.4959276,0.3889226,0.54717314,-0.15627906,0.9530502,0.0022286049,0.236044,0.55915385,-0.53845054,-0.54602885,1.4321442,0.2518969,-0.34459034,0.38955513,1.4965991,0.9720505,-0.23541264,0.20740922,1.8789281,1.072485,0.09071784,-0.32290718,0.037084978,-0.28706327,-1.21297,0.8248648,-1.0143417,0.18278006
8,-0.5132022,0.6947353,1.521294,-0.48031598,-0.772207,-0.5013658,0.45542777,0.63701123,-0.44705433,0.26993722,0.47433943,0.40307325,-0.067986645,-1.2831461,-0.8626822,0.3715751,-0.9239636,0.5549689,0.40378365,0.36174497,-0.14652595,0.7209285,0.054702826,-0.70434654,-0.41824046,0.24262401,-1.140685,1.305482,-0.12743618,-0.3376855,-1.7945894,-1.1356719,-0.19341421,0.47663343,0.7400681,0.4581463,0.8111654,-0.011491583,-1.527903,0.7681208,0.53190404,-0.17614025,0.3520741,1.1109799,-0.56883264,1.040602,-1.7748408,-0.36903647,0.019150397,-0.14784329,-1.0078632,-1.0211785,0.050731298,2.036918,-0.49545494,0.58139884,0.09042665,0.9427294,1.546525,0.59148765,-1.1177323,-0.69786197,0.56360453,0.55034554,0.44715065,-0.40621978,1.1680706,1.7511572,0.17248029,0.5003534,-0.5501263,0.5615757,0.56965816,-0.6410909,0.8442343,0.5364138,-0.9454491,-0.16028033,-1.1145146,0.33001798,0.32928622,-0.36649066,0.49516654,0.91876656,-1.2666798,1.854183,-0.46478266,-0.33192226,0.25375846,0.94489807,0.40422052,0.51694334,-1.1276377,-1.4578764,-1.0746694,0.2832801,0.27370661,1.719039,0.6534657,0.35526353
477,0.49972892,-1.1714334,1.9253011,-0.93958986,1.7413397,0.8193098,-0.7251125,0.36252245,0.50981575,-1.5136597,1.8153955,-0.31384924,-0.1646888,-0.2857457,0.3500358,0.9030487,-0.38657436,-1.0687455,1.718253,-0.27423158,0.37524173,0.53613466,0.9677903,0.31427145,-1.4608032,2.2163427,-0.8322973,-0.46866834,-0.63724345,-0.98756087,-0.2540876,0.055908553,0.22999777,-0.88720566,0.8369046,0.13275161,0.96487427,-0.26447624,-1.1653634,-0.5427617,0.96240234,-0.17848328,-0.6855068,2.000354,1.0328256,0.04818031,-0.6481378,-0.9962471,-0.47456542,-0.06983183,-0.8276193,0.40768373,-1.3221548,0.39741826,-0.013258555,0.1403955,0.14383373,0.52382463,0.15944333,1.168812,0.5406528,-0.46729678,1.3525876,1.2901177,0.64326,0.7696061,-1.2015926,-0.15588112,-0.061207607,-0.3271414,0.48155203,1.7479233,0.13097954,-0.3648111,-0.54165334,-0.5541037,1.3719634,-1.5916356,-0.49679786,0.45327428,-0.027462896,-0.42664462,-0.77033484,-0.4299252,-0.53793603,0.39915624,0.20551811,1.1427758,0.7652041,0.8955982,0.5163431,0.8992672,1.1863192,1.3989681,-2.0057247,0.2806563,-1.8849654,0.048114162,-1.3245623,0.023146695
293,1.7448872,-1.159719,0.4343588,-0.34646258,1.6691377,-0.7036155,0.9101465,0.4283621,-0.30336195,-0.6706069,1.6577253,0.35110298,-0.03332178,-0.15108663,0.08002968,-0.93392116,-0.11781232,-0.10330502,1.2445322,-0.00054054195,0.79355675,-0.52036303,0.16738708,0.51500833,-0.010677709,-0.008133464,-0.99469954,1.0198878,0.546104,0.46820307,0.6247188,1.4392396,-1.2149019,-0.22827575,0.81295127,-0.5960499,-1.4668998,1.4741119,-0.170834,-0.9071065,0.41092855,-0.11627485,-0.2698162,1.3270587,-1.3427815,0.23191078,-0.28867367,1.0166682,0.063617475,0.7208881,-0.7476385,-0.3898626,-0.47500467,1.0892913,0.38924178,0.19120266,-0.14350645,0.29138154,1.3092245,1.5636837,-0.83205354,-1.2555361,0.24356592,0.368503,0.8573265,0.26524913,0.8704551,-0.23882215,-0.557419,-0.7362384,0.35469708,0.008760728,1.2722031,0.66679007,-0.27147752,0.017877845,0.32726857,0.47215194,-0.5783322,-0.19578685,1.1072526,1.0766841,-0.14089002,-1.3731788,0.47675526,0.015716668,0.43047258,0.36186203,-0.2593218,1.0006845,1.7367202,0.8442941,1.1419791,0.30301562,-0.30213568,0.20019893,-1.8347301,1.0905468,0.053432558,-0.15541384
231,0.17997152,-1.3734038,-0.1269369,-0.4528867,0.59613323,-0.09650154,2.4726818,1.899714,0.78201216,-1.0287087,0.9770569,-1.4716223,-0.5531506,-0.85678387,0.9980781,1.0874523,0.60060686,0.6404451,0.8733891,-0.42582515,0.3680937,1.3384013,-0.1940564,-0.73533314,0.35300893,1.1961874,-1.2424581,0.38444224,0.27681595,-0.16075017,0.7071931,-0.28078508,-0.5539174,-0.46298248,0.38070062,-0.51137495,-0.18948704,-0.0325403,-0.5019333,-0.5734591,-0.36006978,-0.34732696,1.3188449,0.87016016,-0.58386993,-0.46848682,-0.28692874,0.09960913,1.9478304,0.09443546,-0.53558624,-1.2495303,-0.5744624,1.0119537,-0.36983934,0.91735303,-0.80764747,0.4948799,1.3647616,0.91242564,-1.2606751,1.2184639,0.80252147,0.24737774,0.61034137,0.031216176,0.33007193,0.055645183,0.090699874,-2.8779624,1.0543499,0.3715341,2.0798616,-1.8404939,1.2229743,-0.2972975,-0.58439314,0.4505444,0.20089877,-0.46827972,-0.121030785,-0.9493567,-0.5160531,-1.2848493,2.080392,-0.37881947,-2.3294718,0.101779334,-0.5859318,-0.9233164,-0.15090972,0.1377912,1.0155364,0.95030653,0.34577397,-0.8838799,-1.2462276,1.9858446,0.9413886,-0.5088881
580,-0.2798012,0.24362363,0.32647127,1.1039162,1.2986718,-0.7700437,0.72988063,1.1596954,1.3771129,-1.6390965,1.1843057,1.3024745,0.79021996,0.81438756,0.31826368,-0.03822368,0.96021706,-1.2076125,1.048223,-0.074011534,0.15846124,0.5305221,0.8233018,-0.11683831,0.2807783,-0.8296737,-1.3676552,-0.20428751,0.67591876,0.87298626,0.046249453,-0.24956748,0.15105237,1.1096226,0.117940605,-0.40677,-0.39505258,-0.16789518,0.030487703,0.6182367,0.21436991,0.44716206,-0.08060969,1.8150556,-0.8340554,-0.20044655,0.58051795,1.0342172,0.31212607,0.33136606,-1.1709422,-1.8904095,-1.4952571,0.87343544,0.5904361,1.3412452,0.67941463,0.48657072,1.3683114,1.6062676,-0.2631451,-1.0897592,0.4289198,0.33384156,0.7774434,1.4070299,-1.3870227,-0.5409469,-0.7273008,-0.81565356,-0.08391736,0.20286644,0.37925568,-1.1069196,0.18233627,-1.104316,0.03092672,-0.26960307,-0.32293138,-0.68348515,-0.5347822,-0.64730304,-0.30493551,-1.114302,0.9296637,0.2568143,0.1791467,0.38248116,0.63805383,-0.99965304,0.5074966,0.8751883,-1.372002,1.9526737,-1.6135029,-1.2627981,-0.8887986,1.1252539,-0.15215638,-0.08958694
